ToVol,OccRate,Speed,HeavyRatio,label
162,6.78,48.6,0.0247,2
165,6.86,48.8,0.0,1
131,5.68,49.7,0.0,1
126,5.22,47.2,0.0,2
151,6.91,48.7,0.0,1
132,5.15,48.8,0.0,1
141,5.9,48.5,0.0,1
94,4.75,48.2,0.0,2
151,6.08,49.1,0.0199,1
141,5.54,50.0,0.0,2
146,6.65,48.7,0.0205,1
128,5.44,48.2,0.0,1
136,5.77,47.5,0.0221,2
138,6.08,46.6,0.0,1
129,5.25,49.9,0.0155,2
171,7.48,47.0,0.0,2
155,6.39,49.8,0.0194,1
136,5.46,51.0,0.0074,2
145,6.02,48.8,0.0069,2
155,6.82,46.7,0.0,2
138,6.04,46.9,0.0435,1
111,4.78,47.2,0.0,2
147,6.24,48.4,0.0068,2
144,6.84,47.2,0.0069,2
173,8.44,41.7,0.0058,1
131,5.43,47.2,0.0,1
125,5.0,48.9,0.0,2
150,6.93,44.5,0.0,2
134,6.6,43.6,0.0149,2
161,8.28,45.2,0.0124,2
135,16.85,47.4,0.0,2
184,9.45,44.3,0.0054,1
148,6.36,50.3,0.0068,1
152,5.7,49.3,0.0,2
144,5.86,47.6,0.0278,1
121,4.95,49.2,0.0083,1
102,4.53,50.5,0.0294,2
177,6.54,49.7,0.0169,2
145,6.49,48.6,0.0069,2
136,6.23,41.7,0.0,2
163,6.65,45.1,0.0,2
183,8.35,51.0,0.0164,2
160,6.46,48.6,0.0125,2
145,6.34,44.4,0.0138,1
130,5.52,48.8,0.0,2
161,7.13,47.6,0.0186,2
165,6.62,47.7,0.0121,1
117,5.54,45.1,0.0171,2
141,6.02,48.3,0.0213,2
161,6.18,48.4,0.0124,2
177,6.8,49.8,0.0,2
197,7.25,46.2,0.0102,2
156,9.7,40.5,0.0192,2
201,8.4,45.4,0.0398,2
187,7.25,45.1,0.0053,2
164,8.84,41.0,0.0244,2
160,5.86,46.1,0.0,1
135,5.18,48.0,0.0148,2
165,7.29,47.8,0.0061,1
141,5.53,48.1,0.0,2
176,7.42,43.8,0.0227,2
104,5.44,41.7,0.0192,2
160,7.19,45.4,0.0062,2
188,7.98,42.6,0.0053,2
124,7.34,43.9,0.0081,2
137,7.27,43.6,0.0,1
112,5.25,46.3,0.0089,2
132,7.95,46.7,0.0,2
128,5.88,44.6,0.0078,2
157,7.28,43.9,0.0191,2
123,7.74,47.2,0.0,2
136,6.97,44.2,0.0074,2
131,5.54,46.1,0.0,1
83,4.75,45.6,0.0,1
113,5.2,49.5,0.0,1
124,5.63,46.6,0.0242,1
96,7.57,48.8,0.0104,1
81,3.28,54.8,0.0,1
102,4.74,45.9,0.0,1
115,5.96,49.2,0.0087,2
115,6.88,43.2,0.0087,1
92,3.91,49.5,0.0109,1
91,4.46,46.5,0.011,1
123,6.2,47.6,0.0163,1
113,5.08,49.8,0.0088,1
75,3.4,46.7,0.0,1
78,4.06,45.6,0.0,1
126,5.98,46.9,0.0,2
120,5.24,43.4,0.0,1
96,5.1,49.0,0.0,1
94,4.6,47.1,0.0,1
99,5.18,45.8,0.0,2
111,6.43,44.3,0.0,1
97,4.49,47.7,0.0,1
92,5.72,42.3,0.0,1
92,3.99,50.5,0.0,1
83,3.94,49.2,0.0,1
115,4.94,46.5,0.0,1
102,5.59,47.8,0.0,1
81,3.5,48.7,0.0123,1
121,5.23,46.4,0.0083,1
68,3.39,48.3,0.0,1
90,4.21,48.1,0.0111,1
84,3.64,52.3,0.0,1
96,4.16,48.3,0.0,1
87,4.23,49.5,0.0115,1
64,2.99,54.0,0.0,0
53,2.18,51.6,0.0189,0
61,3.36,54.7,0.0,1
72,3.75,46.9,0.0,1
81,3.67,49.5,0.0,0
53,2.56,52.9,0.0189,1
66,2.87,48.9,0.0,0
48,1.84,51.5,0.0,1
60,2.77,50.9,0.0167,0
39,1.9,54.7,0.0,1
51,2.12,50.4,0.0,0
53,2.05,54.3,0.0,0
19,0.95,52.5,0.0,0
26,1.13,55.4,0.0,0
