date,open,high,low,close,5ma,20ma,60ma,120ma,trading
2020-09-22,"33,012","33,271","30,035","30,650","32,734.40","32,015.75","26,319.92","21,131.79","1,880,303"
2020-09-23,"31,686","31,783","28,999","29,582","32,061.20","32,119.35","26,495.23","21,284.99","1,398,851"
2020-09-24,"29,129","29,129","27,090","27,866","31,006.00","32,146.85","26,640.87","21,420.12","1,470,072"
2020-09-25,"28,384","28,514","26,637","27,575","29,776.00","32,117.70","26,774.63","21,552.00","858,274"
2020-09-28,"28,061","28,805","27,543","28,740","28,882.60","32,030.30","26,919.20","21,689.28","665,230"
2020-09-29,"29,388","29,776","28,287","29,032","28,559.00","31,991.50","27,058.38","21,826.30","814,690"
2020-10-05,"29,064","29,323","28,578","29,064","28,455.40","31,884.70","27,206.18","21,962.78","379,273"
2020-10-06,"29,420","30,553","29,258","29,549","28,792.00","31,785.95","27,358.30","22,103.02","721,337"
2020-10-07,"29,193","30,261","28,934","29,970","29,271.00","31,637.05","27,515.27","22,247.85","444,540"
2020-10-08,"30,294","31,200","29,938","30,973","29,717.60","31,463.85","27,696.50","22,405.36","824,295"
2020-10-12,"31,297","31,297","30,456","30,844","30,080.00","31,310.10","27,865.88","22,556.93","335,104"
2020-10-13,"31,232","31,265","29,549","30,229","30,313.00","31,099.70","28,028.78","22,699.88","516,161"
2020-10-14,"29,841","30,617","28,999","29,129","30,229.00","30,827.85","28,171.20","22,830.68","862,212"
2020-10-15,"28,999","29,290","27,672","29,161","30,067.20","30,615.85","28,307.67","22,962.84","973,335"
2020-10-16,"29,420","30,100","29,096","29,841","29,840.80","30,437.85","28,456.55","23,102.83","747,875"
2020-10-19,"30,100","30,229","28,643","28,676","29,407.20","30,195.15","28,580.62","23,233.91","562,897"
2020-10-20,"28,255","28,902","26,993","28,546","29,070.60","29,975.05","28,699.83","23,362.29","881,582"
2020-10-21,"28,805","28,902","27,705","28,708","28,986.40","29,753.35","28,766.18","23,494.45","375,600"
2020-10-22,"28,611","28,870","27,187","27,478","28,649.80","29,441.00","28,819.58","23,615.01","563,695"
2020-10-23,"27,478","27,737","26,378","26,701","28,021.80","29,115.70","28,881.07","23,729.63","607,111"
2020-10-26,"26,475","26,734","25,018","25,051","27,296.80","28,835.75","28,919.37","23,829.43","959,500"
2020-10-27,"24,759","26,345","24,306","25,763","26,740.20","28,644.80","28,967.38","23,936.50","815,719"
2020-10-28,"25,763","27,187","25,698","27,187","26,436.00","28,610.85","29,031.03","24,053.28","469,083"
2020-10-29,"26,604","27,769","26,313","27,769","26,494.20","28,620.55","29,097.38","24,174.11","587,511"
2020-10-30,"27,769","28,384","27,057","27,510","26,656.00","28,559.05","29,164.27","24,289.81","550,898"
2020-11-02,"27,802","28,158","26,993","27,964","27,238.60","28,505.65","29,227.93","24,411.45","306,527"
2020-11-03,"28,384","29,711","28,384","29,161","27,918.20","28,510.50","29,312.08","24,544.42","706,795"
2020-11-04,"30,100","30,100","28,643","29,129","28,306.60","28,489.50","29,388.68","24,664.98","751,587"
2020-11-05,"29,905","31,297","29,808","30,941","28,941.00","28,538.05","29,475.53","24,803.34","1,289,389"
2020-11-06,"30,844","31,394","29,258","30,359","29,510.80","28,507.35","29,529.48","24,936.58","1,529,802"
2020-11-09,"30,844","31,329","29,841","29,970","29,912.00","28,463.65","29,574.80","25,061.19","1,348,330"
2020-11-10,"29,711","29,711","27,769","27,996","29,679.00","28,352.00","29,583.43","25,169.35","1,676,665"
2020-11-11,"27,672","28,190","26,539","28,028","29,458.80","28,296.95","29,566.17","25,274.27","1,137,927"
2020-11-12,"28,417","28,514","28,028","28,061","28,882.80","28,241.95","29,552.68","25,378.92","462,211"
2020-11-13,"27,705","28,125","26,928","28,093","28,429.60","28,154.55","29,567.25","25,485.99","438,070"
2020-11-16,"27,899","28,222","27,316","27,866","28,008.80","28,114.05","29,600.15","25,578.77","421,649"
2020-11-17,"28,255","28,514","27,607","27,866","27,982.80","28,080.05","29,612.02","25,667.77","381,022"
