,Date,ToVol,SmVol,MeVol,LaVol,Speed,OccRate,hour,sp3
71,2017-04-09 1:45,21,17,4,0,69.4,3.59,1,Fast
72,2017-04-03 4:30,19,10,9,0,69.3,0.75,4,Fast
73,2017-04-17 2:20,9,7,2,0,69.3,0.38,2,Fast
74,2017-04-28 3:25,9,5,4,0,69.1,0.37,3,Fast
75,2017-04-24 1:30,9,6,3,0,69.1,0.34,1,Fast
76,2017-04-22 2:55,20,16,4,0,69.1,0.73,2,Fast
77,2017-04-09 6:30,47,34,13,0,69.0,1.75,6,Fast
78,2017-04-23 5:15,23,13,9,1,69.0,0.93,5,Fast
79,2017-04-09 5:00,25,15,10,0,68.8,0.97,5,Fast
80,2017-04-16 1:55,25,14,11,0,68.8,0.98,1,Fast
81,2017-04-03 3:00,14,6,8,0,68.8,0.67,3,Fast
82,2017-04-18 2:20,17,9,7,1,68.8,0.72,2,Fast
83,2017-04-07 2:10,18,9,9,0,68.7,9.04,2,Fast
84,2017-04-09 2:20,14,8,6,0,68.7,0.56,2,Fast
85,2017-04-29 3:05,25,19,5,1,68.7,0.88,3,Fast
86,2017-04-02 5:25,29,19,9,1,68.6,1.03,5,Fast
87,2017-04-22 3:05,16,11,5,0,68.6,0.53,3,Fast
88,2017-04-16 3:15,22,12,10,0,68.6,0.88,3,Fast
89,2017-04-29 5:30,46,32,14,0,68.6,1.7,5,Fast
90,2017-04-23 3:55,21,16,5,0,68.4,0.92,3,Fast
91,2017-04-14 2:50,10,8,2,0,68.3,0.42,2,Fast
92,2017-04-18 1:05,20,11,8,1,68.3,0.74,1,Fast
93,2017-04-09 1:50,27,15,12,0,68.2,1.21,1,Fast
94,2017-04-05 5:05,35,21,13,1,68.2,1.39,5,Fast
95,2017-04-16 3:25,24,14,10,0,68.1,1.05,3,Fast
96,2017-04-06 1:35,11,5,5,1,68.1,0.69,1,Fast
97,2017-04-05 5:40,41,23,18,0,68.1,1.62,5,Fast
98,2017-04-23 4:45,21,10,11,0,68.0,0.79,4,Fast
99,2017-04-08 4:15,11,8,3,0,68.0,0.44,4,Fast
100,2017-04-17 17:45,186,148,35,3,46.0,7.76,17,Slow
101,2017-04-20 12:40,178,126,50,2,46.0,7.86,12,Slow
102,2017-04-12 12:50,154,106,48,0,46.0,6.71,12,Slow
103,2017-04-19 16:30,155,114,41,0,46.0,6.72,16,Slow
104,2017-04-11 12:55,137,86,47,4,46.0,6.14,12,Slow
105,2017-04-21 20:25,107,79,27,1,46.0,5.25,20,Slow
106,2017-04-29 14:05,154,117,37,0,46.0,6.47,14,Slow
107,2017-04-02 21:40,73,57,16,0,46.0,3.29,21,Slow
108,2017-04-11 13:50,161,115,46,0,46.0,6.96,13,Slow
109,2017-04-11 13:35,148,92,56,0,46.0,6.58,13,Slow
110,2017-04-03 12:05,139,98,40,1,46.0,6.33,12,Slow
111,2017-04-28 22:45,94,73,20,1,46.0,4.52,22,Slow
112,2017-04-19 10:55,145,93,47,5,46.0,8.16,10,Slow
113,2017-04-14 14:55,164,122,42,0,46.0,7.51,14,Slow
114,2017-04-09 20:45,116,98,18,0,46.0,8.1,20,Slow
115,2017-04-10 18:50,169,128,39,2,46.0,6.55,18,Slow
116,2017-04-23 13:50,171,122,49,0,46.0,7.21,13,Slow
117,2017-04-14 9:00,168,118,47,3,46.0,8.24,9,Slow
118,2017-04-06 12:00,182,142,38,2,46.0,8.15,12,Slow
119,2017-04-15 11:00,158,123,34,1,46.0,8.98,11,Slow
120,2017-04-05 16:35,140,87,52,1,46.0,6.33,16,Slow
121,2017-04-18 19:40,116,86,30,0,46.0,5.5,19,Slow
122,2017-04-18 21:00,89,72,17,0,46.0,3.99,21,Slow
123,2017-04-25 22:35,83,71,12,0,46.0,3.98,22,Slow
124,2017-04-07 15:35,162,130,31,1,46.0,6.87,15,Slow
125,2017-04-28 15:10,180,130,49,1,46.0,8.5,15,Slow
126,2017-04-17 12:40,153,119,34,0,46.0,7.25,12,Slow
127,2017-04-07 13:40,152,102,49,1,46.0,7.38,13,Slow
128,2017-04-24 22:25,84,67,17,0,46.0,4.13,22,Slow
129,2017-04-14 21:00,104,83,20,1,46.0,4.49,21,Slow
130,2017-04-08 20:45,111,85,26,0,46.0,5.4,20,Slow
131,2017-04-14 17:20,194,148,45,1,46.0,8.09,17,Slow
132,2017-04-25 20:20,81,63,18,0,46.0,4.04,20,Slow
133,2017-04-28 14:00,167,123,44,0,46.0,8.11,14,Slow
134,2017-04-27 9:55,176,116,58,2,46.0,8.57,9,Slow
135,2017-04-06 0:05,173,164,6,3,46.0,10.22,0,Slow
136,2017-04-05 17:55,119,75,40,4,46.0,5.53,17,Slow
137,2017-04-04 21:20,121,96,24,1,46.0,5.41,21,Slow
138,2017-04-18 18:05,200,157,40,3,46.0,8.46,18,Slow
139,2017-04-15 22:10,85,69,15,1,46.0,3.85,22,Slow
140,2017-04-17 22:20,87,73,14,0,46.0,4.89,22,Slow
141,2017-04-06 15:05,134,95,39,0,46.1,5.84,15,Slow
142,2017-04-23 22:30,54,36,17,1,46.1,2.62,22,Slow
143,2017-04-25 19:35,114,92,22,0,46.1,5.44,19,Slow
144,2017-04-10 20:10,136,111,24,1,46.1,6.47,20,Slow
145,2017-04-10 17:45,179,121,57,1,46.1,7.42,17,Slow
146,2017-04-10 17:30,144,102,41,1,46.1,6.23,17,Slow
147,2017-04-14 7:25,200,136,63,1,46.1,8.9,7,Slow
148,2017-04-14 7:20,174,119,53,2,46.1,8.28,7,Slow
149,2017-04-29 6:45,106,64,41,1,46.1,5.23,6,Slow
150,2017-04-11 19:55,140,117,23,0,46.1,10.19,19,Slow
151,2017-04-11 16:50,140,93,43,4,46.1,5.79,16,Slow
152,2017-04-17 15:35,137,102,33,2,46.1,6.59,15,Slow
153,2017-04-11 2:35,16,14,2,0,46.1,1.25,2,Slow
