from,to,cost
VDS0011,VDS0096,5807.942754
VDS0011,VDS0097,5226.879377
VDS0011,VDS0098,5158.831795
VDS0011,VDS0099,5958.86836
VDS0011,VDS0100,5924.727702
VDS0011,VDS0101,6190.539641
VDS0011,VDS0102,6197.076968
VDS0011,VDS0103,5423.756794
VDS0011,VDS0104,5474.736992
VDS0011,VDS0105,6107.094563
VDS0011,VDS0107,6499.078643
VDS0011,VDS0108,6488.537601
VDS0011,VDS0109,7060.068193
VDS0011,VDS0110,7100.890562
VDS0011,VDS0112,7765.135914
VDS0011,VDS0113,7768.612624
VDS0011,VDS0116,8656.023461
VDS0011,VDS0117,8610.184072
VDS0011,VDS0118,11080.8456
VDS0012,VDS0005,6560.29338
VDS0012,VDS0006,6477.616621
VDS0012,VDS0007,2258.085298
VDS0012,VDS0008,2186.984803
VDS0012,VDS0009,4656.240667
VDS0012,VDS0010,4739.153398
VDS0012,VDS0011,104.9484984
VDS0012,VDS0012,0.0
VDS0012,VDS0013,2868.115336
VDS0012,VDS0014,2792.205114
VDS0012,VDS0015,2190.6574
VDS0012,VDS0016,2506.910085
VDS0012,VDS0017,3468.628818
VDS0012,VDS0018,2764.484331
VDS0012,VDS0019,2776.688847
VDS0012,VDS0020,2766.737461
VDS0012,VDS0021,2806.644601
VDS0012,VDS0022,4052.639655
VDS0012,VDS0023,4101.853347
VDS0012,VDS0024,3748.978037
VDS0012,VDS0025,3766.779551
VDS0012,VDS0026,3557.251265
VDS0012,VDS0027,3428.497395
VDS0012,VDS0028,5130.765222
VDS0012,VDS0029,4408.444601
VDS0012,VDS0030,4285.644515
VDS0012,VDS0031,4234.115377
VDS0012,VDS0032,6013.98504
VDS0012,VDS0033,6103.026403
VDS0012,VDS0034,6064.041152
VDS0012,VDS0035,6037.395685
VDS0012,VDS0036,6398.339815
VDS0012,VDS0037,6462.928602
VDS0012,VDS0038,7721.636414
VDS0012,VDS0039,7771.655974
VDS0012,VDS0040,8283.378686
VDS0012,VDS0041,6505.152509
VDS0012,VDS0042,6542.02569
VDS0012,VDS0043,6842.614375
VDS0012,VDS0044,6864.231271
VDS0012,VDS0045,9950.635116
VDS0012,VDS0046,9764.439231
VDS0012,VDS0047,8654.609442
VDS0012,VDS0048,8478.187927
VDS0012,VDS0049,8637.637066
VDS0012,VDS0050,8673.964989
VDS0012,VDS0051,9868.525156
VDS0012,VDS0052,9981.085453
